"year","county","name","val2","value"
2017,"Powhatan ","Ag, forest, fish, hunt, & mine",0.93515727645104,"1"
2017,"Powhatan ","Construction",13.3472447638921,"13"
2017,"Powhatan ","Manufacturing",6.79341525620218,"7"
2017,"Powhatan ","Wholesale",2.24128603446943,"2"
2017,"Powhatan ","Retail",10.9050158435737,"11"
2017,"Powhatan ","Transport, warehouse, & util",5.29407218486746,"5"
2017,"Powhatan ","Information",1.75438596491228,"2"
2017,"Powhatan ","Finan, insur, real estate & rent",8.03771543395935,"8"
2017,"Powhatan ","Prof, scient, manage, & admin",12.2111446015921,"12"
2017,"Powhatan ","Ed svcs, hlth care, social asst",21.2767601823943,"21"
2017,"Powhatan ","Arts, ent, rec, & accomod",5.49501507071644,"5"
2017,"Powhatan ","Oth svcs, except pub admin",4.08841486977355,"4"
2017,"Powhatan ","Public admin",7.62037251719607,"8"
2018,"Powhatan ","Ag, forest, fish, hunt, & mine",1.11538171678348,"1"
2018,"Powhatan ","Construction",13.8593714673299,"14"
2018,"Powhatan ","Manufacturing",7.68709021026453,"8"
2018,"Powhatan ","Wholesale",1.7635089305901,"2"
2018,"Powhatan ","Retail",9.36016278543975,"9"
2018,"Powhatan ","Transport, warehouse, & util",5.41110859899013,"5"
2018,"Powhatan ","Information",1.34900896827191,"1"
2018,"Powhatan ","Finan, insur, real estate & rent",9.13407189690255,"9"
2018,"Powhatan ","Prof, scient, manage, & admin",13.9724169115985,"14"
2018,"Powhatan ","Ed svcs, hlth care, social asst",20.9736980933002,"21"
2018,"Powhatan ","Arts, ent, rec, & accomod",4.0018087271083,"4"
2018,"Powhatan ","Oth svcs, except pub admin",3.62499057954631,"4"
2018,"Powhatan ","Public admin",7.74738111387444,"8"
2019,"Powhatan ","Ag, forest, fish, hunt, & mine",1.12688753662384,"1"
2019,"Powhatan ","Construction",13.5376756066411,"14"
2019,"Powhatan ","Manufacturing",9.96919840733228,"10"
2019,"Powhatan ","Wholesale",2.47915258057246,"2"
2019,"Powhatan ","Retail",8.33145518743896,"8"
2019,"Powhatan ","Transport, warehouse, & util",4.50755014649538,"5"
2019,"Powhatan ","Information",1.96829689730298,"2"
2019,"Powhatan ","Finan, insur, real estate & rent",10.3222898354744,"10"
2019,"Powhatan ","Prof, scient, manage, & admin",11.9675456389452,"12"
2019,"Powhatan ","Ed svcs, hlth care, social asst",22.6654646532943,"23"
2019,"Powhatan ","Arts, ent, rec, & accomod",3.98166929607092,"4"
2019,"Powhatan ","Oth svcs, except pub admin",2.7345804222072,"3"
2019,"Powhatan ","Public admin",6.40823379160093,"6"
2020,"Powhatan ","Ag, forest, fish, hunt, & mine",0.939876596355288,"1"
2020,"Powhatan ","Construction",12.7564930406084,"13"
2020,"Powhatan ","Manufacturing",8.91806571961544,"9"
2020,"Powhatan ","Wholesale",2.37480269766107,"2"
2020,"Powhatan ","Retail",9.28397187544841,"9"
2020,"Powhatan ","Transport, warehouse, & util",5.70383125269049,"6"
2020,"Powhatan ","Information",2.10216673841297,"2"
2020,"Powhatan ","Finan, insur, real estate & rent",10.2884201463625,"10"
2020,"Powhatan ","Prof, scient, manage, & admin",11.8955373798249,"12"
2020,"Powhatan ","Ed svcs, hlth care, social asst",22.9659922513991,"23"
2020,"Powhatan ","Arts, ent, rec, & accomod",3.18553594489884,"3"
2020,"Powhatan ","Oth svcs, except pub admin",3.04204333476826,"3"
2020,"Powhatan ","Public admin",6.54326302195437,"7"
