"","LUC_old","LUC_new"
"1","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"2","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"3","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"4","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"5","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"6","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"7","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"8","Undefined (before)","Single Family Residential Suburban (after)"
"9","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"10","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"11","Undefined (before)","Single Family Residential Suburban (after)"
"12","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"13","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"14","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"15","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"16","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"17","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"18","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"19","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"20","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"21","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"22","Undefined (before)","Single Family Residential Suburban (after)"
"23","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"24","Commerical / Industrial (before)","Commerical / Industrial (after)"
"25","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"26","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"27","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"28","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"29","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"30","Commerical / Industrial (before)","Commerical / Industrial (after)"
"31","Other (before)","Other (after)"
"32","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"33","Commerical / Industrial (before)","Commerical / Industrial (after)"
"34","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"35","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"36","Undefined (before)","Other (after)"
