"","MLUSE_old","MLUSE_new"
"1","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"2","Agricultural / Undeveloped (100+ Acres) (before)","Other (after)"
"3","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"4","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"5","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"6","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"7","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"8","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"9","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"10","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"11","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"12","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"13","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"14","Undefined (before)","Single Family Residential Suburban (after)"
"15","Undefined (before)","Single Family Residential Suburban (after)"
"16","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"17","Undefined (before)","Single Family Residential Suburban (after)"
"18","Undefined (before)","Single Family Residential Suburban (after)"
"19","Undefined (before)","Single Family Residential Suburban (after)"
"20","Undefined (before)","Single Family Residential Suburban (after)"
"21","Undefined (before)","Single Family Residential Suburban (after)"
"22","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"23","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"24","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"25","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"26","Other (before)","Single Family Residential Suburban (after)"
"27","Other (before)","Single Family Residential Suburban (after)"
"28","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"29","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"30","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"31","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"32","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"33","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"34","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"35","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"36","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"37","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"38","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"39","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"40","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"41","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"42","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"43","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"44","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"45","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"46","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
