"year","county","name","value","agecat"
2017,"Powhatan ","under5",4,"0 to 14"
2017,"Powhatan ","bet5and9",6,"0 to 14"
2017,"Powhatan ","bet10and14",5,"0 to 14"
2017,"Powhatan ","bet15adn19",7,"15-24"
2017,"Powhatan ","bet20and24",5,"15-24"
2017,"Powhatan ","bet25and29",5,"25-44"
2017,"Powhatan ","bet30and34",5,"25-44"
2017,"Powhatan ","bet35and39",6,"25-44"
2017,"Powhatan ","bet40and44",8,"25-44"
2017,"Powhatan ","bet45and49",8,"45-64"
2017,"Powhatan ","bet50and54",9,"45-64"
2017,"Powhatan ","bet55and59",8,"45-64"
2017,"Powhatan ","bet60and64",7,"45-64"
2017,"Powhatan ","bet65and69",7,"65 & above"
2017,"Powhatan ","bet70and74",4,"65 & above"
2017,"Powhatan ","bet75and79",3,"65 & above"
2017,"Powhatan ","bet80and84",1,"65 & above"
2017,"Powhatan ","above85",1,"65 & above"
2018,"Powhatan ","under5",4,"0 to 14"
2018,"Powhatan ","bet5and9",5,"0 to 14"
2018,"Powhatan ","bet10and14",5,"0 to 14"
2018,"Powhatan ","bet15adn19",6,"15-24"
2018,"Powhatan ","bet20and24",5,"15-24"
2018,"Powhatan ","bet25and29",5,"25-44"
2018,"Powhatan ","bet30and34",6,"25-44"
2018,"Powhatan ","bet35and39",6,"25-44"
2018,"Powhatan ","bet40and44",8,"25-44"
2018,"Powhatan ","bet45and49",8,"45-64"
2018,"Powhatan ","bet50and54",9,"45-64"
2018,"Powhatan ","bet55and59",8,"45-64"
2018,"Powhatan ","bet60and64",7,"45-64"
2018,"Powhatan ","bet65and69",7,"65 & above"
2018,"Powhatan ","bet70and74",4,"65 & above"
2018,"Powhatan ","bet75and79",3,"65 & above"
2018,"Powhatan ","bet80and84",1,"65 & above"
2018,"Powhatan ","above85",1,"65 & above"
2019,"Powhatan ","under5",4,"0 to 14"
2019,"Powhatan ","bet5and9",4,"0 to 14"
2019,"Powhatan ","bet10and14",6,"0 to 14"
2019,"Powhatan ","bet15adn19",6,"15-24"
2019,"Powhatan ","bet20and24",5,"15-24"
2019,"Powhatan ","bet25and29",5,"25-44"
2019,"Powhatan ","bet30and34",6,"25-44"
2019,"Powhatan ","bet35and39",6,"25-44"
2019,"Powhatan ","bet40and44",7,"25-44"
2019,"Powhatan ","bet45and49",8,"45-64"
2019,"Powhatan ","bet50and54",9,"45-64"
2019,"Powhatan ","bet55and59",8,"45-64"
2019,"Powhatan ","bet60and64",7,"45-64"
2019,"Powhatan ","bet65and69",7,"65 & above"
2019,"Powhatan ","bet70and74",5,"65 & above"
2019,"Powhatan ","bet75and79",3,"65 & above"
2019,"Powhatan ","bet80and84",1,"65 & above"
2019,"Powhatan ","above85",2,"65 & above"
2020,"Powhatan ","under5",4,"0 to 14"
2020,"Powhatan ","bet5and9",4,"0 to 14"
2020,"Powhatan ","bet10and14",6,"0 to 14"
2020,"Powhatan ","bet15adn19",6,"15-24"
2020,"Powhatan ","bet20and24",5,"15-24"
2020,"Powhatan ","bet25and29",5,"25-44"
2020,"Powhatan ","bet30and34",5,"25-44"
2020,"Powhatan ","bet35and39",6,"25-44"
2020,"Powhatan ","bet40and44",7,"25-44"
2020,"Powhatan ","bet45and49",8,"45-64"
2020,"Powhatan ","bet50and54",8,"45-64"
2020,"Powhatan ","bet55and59",9,"45-64"
2020,"Powhatan ","bet60and64",8,"45-64"
2020,"Powhatan ","bet65and69",7,"65 & above"
2020,"Powhatan ","bet70and74",4,"65 & above"
2020,"Powhatan ","bet75and79",4,"65 & above"
2020,"Powhatan ","bet80and84",1,"65 & above"
2020,"Powhatan ","above85",1,"65 & above"
2017,"Goochland","under5",4,"0 to 14"
2017,"Goochland","bet5and9",5,"0 to 14"
2017,"Goochland","bet10and14",6,"0 to 14"
2017,"Goochland","bet15adn19",6,"15-24"
2017,"Goochland","bet20and24",5,"15-24"
2017,"Goochland","bet25and29",4,"25-44"
2017,"Goochland","bet30and34",4,"25-44"
2017,"Goochland","bet35and39",5,"25-44"
2017,"Goochland","bet40and44",6,"25-44"
2017,"Goochland","bet45and49",8,"45-64"
2017,"Goochland","bet50and54",9,"45-64"
2017,"Goochland","bet55and59",9,"45-64"
2017,"Goochland","bet60and64",8,"45-64"
2017,"Goochland","bet65and69",7,"65 & above"
2017,"Goochland","bet70and74",6,"65 & above"
2017,"Goochland","bet75and79",4,"65 & above"
2017,"Goochland","bet80and84",1,"65 & above"
2017,"Goochland","above85",1,"65 & above"
2018,"Goochland","under5",4,"0 to 14"
2018,"Goochland","bet5and9",5,"0 to 14"
2018,"Goochland","bet10and14",6,"0 to 14"
2018,"Goochland","bet15adn19",6,"15-24"
2018,"Goochland","bet20and24",5,"15-24"
2018,"Goochland","bet25and29",4,"25-44"
2018,"Goochland","bet30and34",5,"25-44"
2018,"Goochland","bet35and39",5,"25-44"
2018,"Goochland","bet40and44",6,"25-44"
2018,"Goochland","bet45and49",7,"45-64"
2018,"Goochland","bet50and54",9,"45-64"
2018,"Goochland","bet55and59",9,"45-64"
2018,"Goochland","bet60and64",8,"45-64"
2018,"Goochland","bet65and69",7,"65 & above"
2018,"Goochland","bet70and74",6,"65 & above"
2018,"Goochland","bet75and79",4,"65 & above"
2018,"Goochland","bet80and84",1,"65 & above"
2018,"Goochland","above85",2,"65 & above"
2019,"Goochland","under5",4,"0 to 14"
2019,"Goochland","bet5and9",4,"0 to 14"
2019,"Goochland","bet10and14",6,"0 to 14"
2019,"Goochland","bet15adn19",6,"15-24"
2019,"Goochland","bet20and24",5,"15-24"
2019,"Goochland","bet25and29",5,"25-44"
2019,"Goochland","bet30and34",5,"25-44"
2019,"Goochland","bet35and39",5,"25-44"
2019,"Goochland","bet40and44",6,"25-44"
2019,"Goochland","bet45and49",7,"45-64"
2019,"Goochland","bet50and54",8,"45-64"
2019,"Goochland","bet55and59",9,"45-64"
2019,"Goochland","bet60and64",9,"45-64"
2019,"Goochland","bet65and69",7,"65 & above"
2019,"Goochland","bet70and74",7,"65 & above"
2019,"Goochland","bet75and79",4,"65 & above"
2019,"Goochland","bet80and84",2,"65 & above"
2019,"Goochland","above85",2,"65 & above"
2020,"Goochland","under5",4,"0 to 14"
2020,"Goochland","bet5and9",4,"0 to 14"
2020,"Goochland","bet10and14",6,"0 to 14"
2020,"Goochland","bet15adn19",6,"15-24"
2020,"Goochland","bet20and24",5,"15-24"
2020,"Goochland","bet25and29",5,"25-44"
2020,"Goochland","bet30and34",5,"25-44"
2020,"Goochland","bet35and39",5,"25-44"
2020,"Goochland","bet40and44",5,"25-44"
2020,"Goochland","bet45and49",7,"45-64"
2020,"Goochland","bet50and54",8,"45-64"
2020,"Goochland","bet55and59",10,"45-64"
2020,"Goochland","bet60and64",8,"45-64"
2020,"Goochland","bet65and69",7,"65 & above"
2020,"Goochland","bet70and74",7,"65 & above"
2020,"Goochland","bet75and79",4,"65 & above"
2020,"Goochland","bet80and84",2,"65 & above"
2020,"Goochland","above85",2,"65 & above"
